,Country,Ground.Truth.Internet.GG,Jun_Internet_online_model,Sep_Internet_online_model,Oct_Internet_online_model,Nov_Internet_online_model,Jun_Internet_online_offline_model,Sep_Internet_online_offline_model,Oct_Internet_online_offline_model,Nov_Internet_online_offline_model,Internet.Offline.model.prediction,Mobile_GG,Jun_Mobile_online_model,Sep_Mobile_online_model,Oct_Mobile_online_model,Nov_Mobile_online_model,Jun_Mobile_online_offline_model,Sep_Mobile_online_offline_model,Oct_Mobile_online_offline_model,Nov_Mobile_online_offline_model,Mobile.Offline.model.prediction,Sep_ Jun_ Internet_online_model perc_change _,Oct_ Sep_ Internet_online_model perc_change _,Nov_ Oct_ Internet_online_model perc_change _,Sep_ Jun_ Internet_online_offline_model perc_change _,Oct_ Sep_ Internet_online_offline_model perc_change _,Nov_ Oct_ Internet_online_offline_model perc_change _,Sep_ Jun_ Mobile_online_model perc_change _,Oct_ Sep_ Mobile_online_model perc_change _,Nov_ Oct_ Mobile_online_model perc_change _,Sep_ Jun_ Mobile_online_offline_model perc_change _,Oct_ Sep_ Mobile_online_offline_model perc_change _,Nov_ Oct_ Mobile_online_offline_model perc_change _,Numeric Country
34,CHL,NA,0.981,0.986,0.981,0.981,0.975,0.982,0.975,0.975,0.926,NA,1.000,1.000,1.000,1.000,0.992,0.992,0.992,1.000,NA,0.514,-0.532,-0.023,0.676,-0.698,-0.030,0.000,0.000,0.000,0.007,0.000,0.793,152
35,CHN,NA,0.833,0.849,0.861,0.856,0.818,0.838,0.854,0.848,0.916,0.99,0.941,0.993,0.990,0.964,0.937,0.980,0.966,0.948,0.942,1.846,1.511,-0.595,2.455,1.997,-0.783,5.510,-0.249,-2.677,4.636,-1.392,-1.917,156
36,COL,0.974,0.986,0.986,0.962,0.986,0.970,0.970,0.938,0.970,0.944,0.97,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.940,0.000,-2.445,2.507,0.000,-3.245,3.354,0.000,0.000,0.000,0.000,0.000,0.000,170
37,COM,NA,0.824,0.814,0.820,0.817,NA,NA,NA,NA,NA,NA,0.892,0.897,0.908,0.913,0.833,0.822,0.835,0.849,0.700,-1.174,0.733,-0.438,NA,NA,NA,0.557,1.242,0.482,-1.327,1.627,1.663,174
38,CRI,0.992,0.986,0.986,0.986,0.980,0.972,0.972,0.972,0.964,0.941,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NA,0.000,0.000,-0.610,0.000,0.000,-0.807,0.000,0.000,0.000,0.000,0.000,0.000,188
40,HRV,0.879,0.931,0.932,0.936,0.932,0.915,0.916,0.921,0.916,0.957,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.041,0.449,-0.447,0.055,0.596,-0.593,0.000,0.000,0.000,NA,NA,NA,191
41,CYP,0.958,0.947,0.953,0.947,0.953,0.939,0.947,0.939,0.947,0.954,NA,0.993,1.000,0.986,0.987,NA,NA,NA,NA,NA,0.639,-0.620,0.624,0.841,-0.814,0.821,0.669,-1.405,0.141,NA,NA,NA,196
44,DNK,1,0.986,0.986,0.986,0.986,0.994,0.994,0.994,0.994,1,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,208
45,DJI,NA,0.787,0.792,0.795,0.802,NA,NA,NA,NA,NA,NA,0.846,0.835,0.831,0.858,0.782,0.750,0.753,0.785,0.709,0.605,0.471,0.789,NA,NA,NA,-1.388,-0.436,3.284,-4.089,0.468,4.225,262
46,DMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212
47,DOM,NA,0.974,0.986,0.974,0.986,0.965,0.981,0.965,0.981,0.926,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.937,1.216,-1.202,1.216,1.602,-1.577,1.602,0.000,0.000,0.000,0.000,0.000,0.000,214
48,ECU,0.982,0.943,0.943,0.945,0.945,0.920,0.920,0.922,0.923,0.949,NA,1.000,1.000,1.000,1.000,1.000,0.987,0.973,0.987,0.943,-0.004,0.146,0.069,-0.006,0.196,0.092,0.000,0.000,0.000,-1.345,-1.334,1.367,218
49,EGY,0.853,0.793,0.793,0.803,0.803,0.834,0.834,0.846,0.846,0.789,0.98,0.843,0.851,0.850,0.863,0.862,0.862,0.871,0.868,0.942,0.016,1.213,0.000,0.020,1.505,0.000,0.910,-0.181,1.634,-0.039,1.111,-0.371,818
50,SLV,0.872,0.889,0.889,0.911,0.911,0.861,0.861,0.890,0.890,0.887,NA,0.982,0.982,0.983,0.983,NA,NA,NA,NA,NA,0.012,2.489,0.000,0.017,3.352,0.000,0.013,0.055,0.051,NA,NA,NA,222
